transaction_id,campaign_id,strategy_id,customer_id,account_id,device_id,merchant_id,amount,timestamp,city,merchant_category,location_lat,location_lon,ip_address,currency,channel,label,attack_family
ftxn_f4933f2f76,camp_3205966dc8,gen_23a3688635,cust_cb79a269ee,acc_6e645b9679,dev_d6fb7982bf,mch_e367ce23ef,2849.05,2026-05-08T04:21:00,Bengaluru,pharmacy,13.02528,77.55285,10.249.201.41,USD,pos,1,emergent_device_geographic_temporal
ftxn_fe2f4861b1,camp_01e26a7c4f,gen_820dd279a3,cust_0427227953,acc_f71dafec5b,dev_b03209f3ea,mch_089b6f7210,3233.97,2026-04-05T03:41:00,Chennai,electronics,13.07819,80.37064,10.195.251.132,USD,pos,1,emergent_temporal
ftxn_4d926b2b04,camp_93671df01a,gen_8fda36901d,cust_b974471722,acc_4764e9b9db,dev_53a9eabae9,mch_ac3138aef3,1.85,2026-05-04T00:08:00,Delhi,entertainment,28.7115,77.20244,10.12.163.73,USD,pos,1,emergent_amount_coordination_velocity
ftxn_8d32ff2fa4,camp_93671df01a,gen_8fda36901d,cust_b974471722,acc_4764e9b9db,dev_53a9eabae9,mch_45261f3db2,3.35,2026-05-04T00:08:29,Kolkata,entertainment,22.61291,88.35877,10.157.98.150,USD,pos,1,emergent_amount_coordination_velocity
ftxn_2f66b29d37,camp_93671df01a,gen_8fda36901d,cust_b974471722,acc_4764e9b9db,dev_53a9eabae9,mch_74bddb7e7b,1.79,2026-05-04T00:08:48,Delhi,entertainment,28.65167,77.30161,10.67.168.214,USD,pos,1,emergent_amount_coordination_velocity
ftxn_735e5a7c38,camp_93671df01a,gen_8fda36901d,cust_b974471722,acc_4764e9b9db,dev_53a9eabae9,mch_d6da9341b7,15358.02,2026-05-04T00:11:00,Chennai,entertainment,13.13781,80.24448,10.3.111.127,USD,pos,1,emergent_amount_coordination_velocity
ftxn_3f79c4c825,camp_d4e055ebfd,gen_b7cb2e0558,cust_ae8eb6f716,acc_0e072834a4,dev_44e8c9f309,mch_4bccf1fc7f,3288.27,2026-05-06T04:33:00,Mumbai,utilities,19.14622,72.80755,10.246.84.126,USD,atm,1,emergent_temporal
ftxn_510bc38714,camp_e44d4d862e,gen_6f9d80f533,cust_0c974289fa,acc_7cd142b779,dev_ecdf4aa406,mch_d8427d8969,3000.23,2026-05-22T00:24:00,Jaipur,fuel,26.82879,75.74177,10.49.7.147,USD,online,1,emergent_temporal
ftxn_5f7fb811e7,camp_cdcedfce2e,gen_311731f1a0,cust_8d7d0d3c45,acc_3ba23c9e6e,dev_863eee86d7,mch_eea23ee3ca,2105.33,2026-04-28T18:15:00,Jaipur,utilities,26.94368,75.69498,10.65.197.165,USD,mobile_app,1,legitimate
ftxn_ca039a16ab,camp_485f4b2c26,gen_0c320a9bf7,cust_2c782b8ece,acc_8ad634faf2,dev_2bf08c01bc,mch_3f05f47d11,3503.25,2026-04-14T20:22:00,Hyderabad,entertainment,17.38842,78.54345,10.93.4.11,USD,online,1,emergent_coordination_geographic_merchant
ftxn_51225f93d5,camp_485f4b2c26,gen_0c320a9bf7,cust_2c782b8ece,acc_8ad634faf2,dev_2bf08c01bc,mch_d6da9341b7,3536.88,2026-04-14T20:22:00,Hyderabad,entertainment,17.39214,78.49152,10.47.157.5,USD,online,1,emergent_coordination_geographic_merchant
ftxn_a4018ee669,camp_82d058bb36,gen_e0c09932a1,cust_076bc48359,acc_725658d320,dev_a81f29f180,mch_4a329d36e0,14019.39,2026-04-29T15:35:00,Bengaluru,travel,12.9431,77.5788,10.211.167.29,USD,mobile_app,1,emergent_amount_geographic_merchant
ftxn_dd76cba54f,camp_eb6b5f8b9f,gen_cf839fbf3a,cust_034fe8bde5,acc_4d8e716fad,dev_c107df84f0,mch_ebec1d79c1,2274.8,2026-04-10T01:07:00,Pune,pharmacy,18.49681,73.83847,10.102.139.153,USD,online,1,emergent_amount_device_merchant
ftxn_deda436931,camp_eb6b5f8b9f,gen_cf839fbf3a,cust_034fe8bde5,acc_4d8e716fad,dev_c107df84f0,mch_ebec1d79c1,2937.17,2026-04-11T01:07:00,Pune,pharmacy,18.48183,73.83775,10.212.135.176,USD,online,1,emergent_amount_device_merchant
ftxn_bf1bbf6b87,camp_eb6b5f8b9f,gen_cf839fbf3a,cust_034fe8bde5,acc_4d8e716fad,dev_c107df84f0,mch_ebec1d79c1,3531.88,2026-04-12T01:07:00,Pune,pharmacy,18.48701,73.83493,10.242.17.209,USD,online,1,emergent_amount_device_merchant
ftxn_4035c8546f,camp_eb6b5f8b9f,gen_cf839fbf3a,cust_034fe8bde5,acc_4d8e716fad,dev_c107df84f0,mch_ebec1d79c1,4120.92,2026-04-13T01:07:00,Pune,pharmacy,18.59334,73.79218,10.25.177.214,USD,online,1,emergent_amount_device_merchant
ftxn_81ebdd6cc0,camp_eb6b5f8b9f,gen_cf839fbf3a,cust_034fe8bde5,acc_4d8e716fad,dev_c107df84f0,mch_ebec1d79c1,4599.08,2026-04-14T01:07:00,Pune,pharmacy,18.50969,73.89142,10.131.43.223,USD,online,1,emergent_amount_device_merchant
ftxn_cfa33b36e9,camp_153ac86421,gen_0c320a9bf7,cust_34aaa24724,acc_1e0ce024d9,dev_09807ba7e2,mch_4879b20d98,3559.67,2026-04-08T03:19:00,Jaipur,clothing,26.84652,75.73756,10.209.151.231,USD,pos,1,emergent_coordination_geographic_merchant
ftxn_01d0b6dbd4,camp_153ac86421,gen_0c320a9bf7,cust_34aaa24724,acc_1e0ce024d9,dev_09807ba7e2,mch_878c9fe51b,3547.85,2026-04-08T03:19:00,Mumbai,clothing,19.02617,72.92929,10.114.214.245,USD,pos,1,emergent_coordination_geographic_merchant
ftxn_600af7ed2b,camp_514cf0b19e,gen_b7cb2e0558,cust_6a6d30f4dd,acc_38db7e9f64,dev_31b07e047c,mch_62b6dce064,574.22,2026-04-18T02:14:00,Chennai,pharmacy,13.0873,80.24698,10.254.245.3,USD,pos,1,emergent_temporal
ftxn_a1ff5a6001,camp_f8aa765a83,gen_311731f1a0,cust_16eb4c7eaa,acc_2f002fe8ce,dev_79e0c843e5,mch_bed7735250,1266.55,2026-04-27T08:09:00,Delhi,electronics,28.59467,77.21557,10.50.93.58,USD,pos,1,legitimate
ftxn_3683bb7015,camp_23afda97bc,gen_c96b2f2b66,cust_69c85bd024,acc_209c26596a,dev_c2f0b71562,mch_7e837c5838,2644.49,2026-05-07T01:30:00,Mumbai,fuel,19.07156,72.91983,10.213.195.86,USD,pos,1,emergent_coordination_geographic_merchant
ftxn_d38257ac98,camp_23afda97bc,gen_c96b2f2b66,cust_69c85bd024,acc_209c26596a,dev_c2f0b71562,mch_d8427d8969,2952.22,2026-05-07T01:30:00,Mumbai,fuel,19.05882,72.87071,10.102.243.252,USD,pos,1,emergent_coordination_geographic_merchant
ftxn_26265b1a2b,camp_7d673561d8,gen_347aa577b3,cust_3a9f7daee4,acc_31bfd4806a,dev_7a63969fcf,mch_c523c5c06f,1819.32,2026-05-16T23:58:00,Chennai,electronics,13.02994,80.28622,10.237.204.121,USD,online,1,legitimate
ftxn_a43e8c3b1e,camp_f10b732a9f,gen_c244cd2084,cust_d11f3def9a,acc_ef530544ae,dev_b84adee16c,mch_847c49b319,1535.8,2026-04-20T04:09:00,Jaipur,entertainment,26.9306,75.68766,10.78.127.29,USD,pos,1,emergent_temporal
ftxn_b9e44af22a,camp_6aaa405b39,gen_e432127c05,cust_37f49c5284,acc_6299ec2191,dev_69a262e887,mch_e367ce23ef,2043.04,2026-05-09T03:15:00,Mumbai,pharmacy,19.12021,72.86731,10.54.34.158,USD,online,1,emergent_coordination_geographic_merchant
ftxn_447b4b647b,camp_6aaa405b39,gen_e432127c05,cust_37f49c5284,acc_86040dead2,dev_4c69f2cdb7,mch_62b6dce064,1715.08,2026-05-09T03:15:00,Mumbai,pharmacy,19.15219,72.87316,10.112.143.248,USD,pos,1,emergent_coordination_geographic_merchant
ftxn_6842ae4c5d,camp_01378f689b,gen_5cf8af1cf0,cust_034fe8bde5,acc_4d8e716fad,dev_3e5893b8e0,mch_11955c04db,2109.22,2026-05-29T04:47:00,Pune,utilities,18.45144,73.90752,10.28.20.70,USD,atm,1,emergent_temporal
ftxn_36a246b9ee,camp_691bb9089c,gen_153af62be5,cust_43e4e9d7f5,acc_48b36e1232,dev_7346654f7c,mch_62b6dce064,223.39,2026-05-23T11:53:00,Chennai,entertainment,13.07125,80.2326,10.48.7.136,USD,atm,1,legitimate
ftxn_fb1362a932,camp_40d25cdcc4,gen_5c2883080f,cust_2c782b8ece,acc_8ad634faf2,dev_2bf08c01bc,mch_42d69bcc22,3422.94,2026-05-16T04:08:00,Pune,online_marketplace,18.61061,73.76912,10.196.159.61,USD,online,1,legitimate
ftxn_23702059fd,camp_c457a5dce8,gen_511c9cee7a,cust_b8f36ddbdc,acc_84d4cd023a,dev_5b2b18c741,mch_4a329d36e0,674.52,2026-05-20T14:56:00,Mumbai,travel,19.07092,72.85562,10.94.52.53,USD,mobile_app,1,emergent_merchant
ftxn_637c2fb982,camp_3d123e5595,gen_347aa577b3,cust_d19b94d888,acc_a59bdd9633,dev_1cf95159e2,mch_e514cb286a,932.51,2026-04-04T11:39:00,Delhi,grocery,28.52693,77.13031,10.26.197.126,USD,online,1,legitimate
ftxn_9945623d27,camp_29c82282de,gen_0c320a9bf7,cust_44231f2bfe,acc_c50765d4a7,dev_ccd6323692,mch_74bddb7e7b,2530.09,2026-04-27T09:15:00,Kolkata,travel,22.60871,88.35061,10.26.103.204,USD,online,1,emergent_coordination_geographic_merchant
ftxn_755c572472,camp_29c82282de,gen_0c320a9bf7,cust_44231f2bfe,acc_c50765d4a7,dev_ccd6323692,mch_74bddb7e7b,2290.28,2026-04-27T09:15:00,Kolkata,travel,22.52813,88.32859,10.179.209.233,USD,online,1,emergent_coordination_geographic_merchant
ftxn_6c6b266046,camp_2ca0bf8e54,gen_5cf8af1cf0,cust_e86a4f2cd6,acc_24699041ba,dev_375969825e,mch_ebec1d79c1,2938.49,2026-05-24T00:10:00,Bengaluru,pharmacy,13.02208,77.62731,10.21.156.189,USD,online,1,emergent_temporal
ftxn_ebc65d00ef,camp_329eb09519,gen_7cbee8abc3,cust_5f07b7e205,acc_e34ac1a7f8,dev_daf170c48a,mch_74bddb7e7b,283.54,2026-04-07T00:31:00,Hyderabad,travel,17.3412,78.5146,10.249.154.196,USD,online,1,emergent_temporal
ftxn_bf9162b98e,camp_19300deb7b,gen_047b5766c2,cust_a8d14b4300,acc_f2950c3409,dev_8f5125a0f8,mch_4a329d36e0,2449.31,2026-04-09T22:30:00,Kolkata,travel,22.50076,88.3911,10.185.164.74,USD,mobile_app,1,legitimate
ftxn_76b8ebb57c,camp_52a43069f5,gen_a638e40550,cust_6a6d30f4dd,acc_38db7e9f64,dev_31b07e047c,mch_e3c10fc643,1473.43,2026-05-15T03:49:00,Chennai,travel,13.12252,80.29259,10.166.225.225,USD,pos,1,legitimate
ftxn_198a4c4551,camp_d07bfec2f5,gen_fc12e8f86e,cust_cd5483200e,acc_2444fb39d9,dev_97b5136082,mch_62b6dce064,2300.33,2026-05-16T00:40:00,Hyderabad,entertainment,17.34395,78.51776,10.83.180.132,USD,atm,1,emergent_coordination_geographic_merchant
ftxn_48ee8596d8,camp_d07bfec2f5,gen_fc12e8f86e,cust_cd5483200e,acc_2444fb39d9,dev_97b5136082,mch_882c01b58b,2345.81,2026-05-16T00:40:00,Hyderabad,entertainment,17.33101,78.53946,10.99.17.65,USD,atm,1,emergent_coordination_geographic_merchant
ftxn_26342b45bd,camp_82fa96dede,gen_a9e44fce3e,cust_ae8eb6f716,acc_0e072834a4,dev_44e8c9f309,mch_878c9fe51b,3045.19,2026-04-07T04:47:00,Mumbai,clothing,19.00672,72.90902,10.197.49.137,USD,atm,1,legitimate
ftxn_e2b6175102,camp_f84281d956,gen_a0470fb68a,cust_1e2f00cb8a,acc_434d0b5168,dev_4b08e6444b,mch_eea23ee3ca,893.47,2026-05-02T03:35:00,Hyderabad,entertainment,17.39133,78.47055,10.76.14.209,USD,online,1,emergent_temporal
ftxn_24ade4efae,camp_3146b32fcc,gen_42502fafc9,cust_34aaa24724,acc_1e0ce024d9,dev_09807ba7e2,mch_e62aa25c93,3510.63,2026-04-26T12:21:00,Mumbai,fuel,19.06882,72.82903,10.157.16.129,USD,pos,1,legitimate
ftxn_e058282fb6,camp_e92a8c9b70,gen_95cd689e71,cust_dd270b0046,acc_0f7bb718a4,dev_e36922e9bc,mch_45261f3db2,3947.85,2026-05-21T14:28:00,Mumbai,dining,19.05869,72.82518,10.132.46.193,USD,pos,1,legitimate
