genome_id,parent_id,generation,campaign_id,customer_id,num_transactions,gain,risk_score,detected,reason_codes,fitness,gain_score,evasion_score,novelty_score,active_dimensions,genome_vector,attack_family,detection_probability,attack_success,parent_campaign_id,mutation_summary
gen_23a3688635,,0,camp_3205966dc8,cust_cb79a269ee,1,2849.05,0.52,True,"[""off_hours"", ""unknown_device""]",0.3333,0.127,0.48,0.385,"[""temporal"", ""device"", ""geographic""]","[0.2590084917154736, 0.6852579929645369, 0.6840819180161107, 0.8493361613899302, 0.1857241738737354, 0.2305586089654681, 0.14715991816841778]",emergent_device_geographic_temporal,0.52,0.48,,
gen_820dd279a3,,0,camp_01e26a7c4f,cust_0427227953,1,3233.97,0.458,False,"[""amount_deviation"", ""off_hours"", ""unusual_location""]",0.3351,0.11,0.542,0.271,"[""temporal""]","[0.22516293556211264, 0.734023602212773, 0.13021302275975688, 0.5313147518470183, 0.21390753049174072, 0.29465675376336253, 0.4315803283922126]",emergent_temporal,0.458,0.542,,
gen_8fda36901d,,0,camp_93671df01a,cust_b974471722,4,15365.01,0.916,True,"[""amount_deviation"", ""off_hours"", ""unusual_location"", ""velocity_burst""]",0.2143,0.125,0.084,0.457,"[""amount"", ""velocity"", ""coordination""]","[0.8376565105032981, 0.6084021478742864, 0.014432392962091867, 0.2758368539391567, 0.14671032194011457, 0.8712847291984398, 0.8097396112110605]",emergent_amount_coordination_velocity,0.916,0.08399999999999996,,
gen_b7cb2e0558,,0,camp_d4e055ebfd,cust_ae8eb6f716,1,3288.27,0.25,False,"[""off_hours""]",0.4319,0.123,0.75,0.274,"[""temporal""]","[0.48678549303293817, 0.7550038512774011, 0.5641385986016807, 0.4295776461864138, 0.3642026252197428, 0.4298222708601105, 0.31376136582532577]",emergent_temporal,0.25,0.75,,
gen_6f9d80f533,,0,camp_e44d4d862e,cust_0c974289fa,1,3000.23,0.392,False,"[""off_hours"", ""unusual_location""]",0.3694,0.124,0.608,0.28,"[""temporal""]","[0.1348537611989652, 0.6768215650986809, 0.44339995485526273, 0.17663374761721184, 0.20262663200059494, 0.5226933014113342, 0.2533117560380147]",emergent_temporal,0.392,0.608,,
gen_311731f1a0,,0,camp_cdcedfce2e,cust_8d7d0d3c45,1,2105.33,0.324,False,"[""amount_deviation"", ""off_hours""]",0.4005,0.132,0.676,0.275,[],"[0.45945902363778857, 0.6054987779269864, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.23567832921908183]",legitimate,0.324,0.6759999999999999,,
gen_0c320a9bf7,,0,camp_485f4b2c26,cust_2c782b8ece,2,7040.13,0.248,False,"[""off_hours""]",0.4738,0.125,0.752,0.402,"[""geographic"", ""merchant"", ""coordination""]","[0.19446895049174417, 0.366439909719686, 0.07327577792391804, 0.6512317704341258, 0.9536660422656937, 0.38968876005844033, 0.7188819901966701]",emergent_coordination_geographic_merchant,0.248,0.752,,
gen_e0c09932a1,,0,camp_82d058bb36,cust_076bc48359,1,14019.39,0.608,True,"[""amount_deviation"", ""off_hours""]",0.3991,0.586,0.392,0.452,"[""amount"", ""geographic"", ""merchant""]","[0.9329778169654616, 0.043208541161602665, 0.1417455635817888, 0.8060952775041057, 0.8381453785681514, 0.6390555147357233, 0.15975671807789493]",emergent_amount_geographic_merchant,0.608,0.392,,
gen_cf839fbf3a,,0,camp_eb6b5f8b9f,cust_034fe8bde5,5,17463.85,0.774,True,"[""amount_deviation"", ""off_hours"", ""unknown_device""]",0.296,0.193,0.226,0.404,"[""amount"", ""device"", ""merchant""]","[0.7165110905234495, 0.13700750396727945, 0.9713032894127117, 0.6035000029031871, 0.7227143160726478, 0.21171568976023003, 0.6172404962969068]",emergent_amount_device_merchant,0.774,0.22599999999999998,,
gen_0c320a9bf7,,0,camp_153ac86421,cust_34aaa24724,2,7107.52,0.661,True,"[""off_hours"", ""unusual_location""]",0.2682,0.126,0.339,0.302,"[""geographic"", ""merchant"", ""coordination""]","[0.19446895049174417, 0.366439909719686, 0.07327577792391804, 0.6512317704341258, 0.9536660422656937, 0.38968876005844033, 0.7188819901966701]",emergent_coordination_geographic_merchant,0.661,0.33899999999999997,,
gen_b7cb2e0558,,0,camp_514cf0b19e,cust_6a6d30f4dd,1,574.22,0.62,True,"[""amount_deviation"", ""off_hours""]",0.2316,0.066,0.38,0.162,"[""temporal""]","[0.48678549303293817, 0.7550038512774011, 0.5641385986016807, 0.4295776461864138, 0.3642026252197428, 0.4298222708601105, 0.31376136582532577]",emergent_temporal,0.62,0.38,,
gen_311731f1a0,,0,camp_f8aa765a83,cust_16eb4c7eaa,1,1266.55,0.634,True,"[""off_hours""]",0.2387,0.135,0.366,0.16,[],"[0.45945902363778857, 0.6054987779269864, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.23567832921908183]",legitimate,0.634,0.366,,
gen_c96b2f2b66,gen_0c320a9bf7,1,camp_23afda97bc,cust_69c85bd024,2,5596.71,0.716,True,"[""amount_deviation"", ""off_hours""]",0.2342,0.148,0.284,0.234,"[""geographic"", ""merchant"", ""coordination""]","[0.19446895049174417, 0.41025256975232594, 0.07327577792391804, 0.6512317704341258, 1.0, 0.38968876005844033, 0.7188819901966701]",emergent_coordination_geographic_merchant,0.716,0.28400000000000003,camp_153ac86421,"merchant +0.05, temporal +0.04"
gen_347aa577b3,gen_311731f1a0,1,camp_7d673561d8,cust_3a9f7daee4,1,1819.32,0.06,False,"[""amount_deviation""]",0.4995,0.163,0.94,0.145,[],"[0.5171815516032185, 0.4805378824091553, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.23567832921908183]",legitimate,0.06,0.94,camp_f8aa765a83,"temporal -0.12, amount +0.06"
gen_c244cd2084,gen_b7cb2e0558,1,camp_f10b732a9f,cust_d11f3def9a,1,1535.8,0.65,True,"[""amount_deviation"", ""off_hours""]",0.215,0.1,0.35,0.113,"[""temporal""]","[0.48678549303293817, 0.7550038512774011, 0.5011449639370261, 0.4295776461864138, 0.3642026252197428, 0.4298222708601105, 0.31376136582532577]",emergent_temporal,0.65,0.35,camp_514cf0b19e,device -0.06
gen_e432127c05,gen_0c320a9bf7,1,camp_6aaa405b39,cust_37f49c5284,2,3758.12,0.73,True,"[""off_hours"", ""unknown_device""]",0.2133,0.125,0.27,0.184,"[""geographic"", ""merchant"", ""coordination""]","[0.19446895049174417, 0.366439909719686, 0.07327577792391804, 0.6512317704341258, 0.9536660422656937, 0.214008562997831, 0.7188819901966701]",emergent_coordination_geographic_merchant,0.73,0.27,camp_153ac86421,velocity -0.18
gen_5cf8af1cf0,gen_b7cb2e0558,1,camp_01378f689b,cust_034fe8bde5,1,2109.22,0.62,True,"[""amount_deviation"", ""off_hours""]",0.2397,0.116,0.38,0.152,"[""temporal""]","[0.48678549303293817, 0.7550038512774011, 0.5641385986016807, 0.4295776461864138, 0.06026487443433998, 0.4298222708601105, 0.31376136582532577]",emergent_temporal,0.62,0.38,camp_514cf0b19e,merchant -0.30
gen_153af62be5,gen_311731f1a0,1,camp_691bb9089c,cust_43e4e9d7f5,1,223.39,0.853,True,"[""off_hours""]",0.1175,0.083,0.147,0.098,[],"[0.5801188514587566, 0.6054987779269864, 0.395757368872072, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.23567832921908183]",legitimate,0.853,0.14700000000000002,camp_f8aa765a83,amount +0.12
gen_5c2883080f,gen_311731f1a0,1,camp_40d25cdcc4,cust_2c782b8ece,1,3422.94,0.655,True,"[""amount_deviation"", ""off_hours"", ""unusual_location""]",0.2112,0.121,0.345,0.084,[],"[0.45945902363778857, 0.6054987779269864, 0.536425114362174, 0.13078096193971112, 0.49085713587721047, 0.23544699374851974, 0.21673797264906614]",legitimate,0.655,0.345,camp_f8aa765a83,device +0.14
gen_511c9cee7a,gen_0c320a9bf7+gen_311731f1a0,1,camp_c457a5dce8,cust_b8f36ddbdc,1,674.52,0.628,True,"[""amount_deviation"", ""off_hours""]",0.2371,0.084,0.372,0.19,"[""merchant""]","[0.32696398706476637, 0.4859693438233362, 0.23451657339799503, 0.3910063661869185, 0.7222615890714521, 0.31256787690348004, 0.47728015970787596]",emergent_merchant,0.628,0.372,camp_153ac86421,crossover: gen_0c320a9bf7 + gen_311731f1a0
